,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,0.1946809562500286,0.12845797216180405,0.08525121006724759,0.15824382193126446,0.08937309310553392
1,DG Mossy (+)0103,DG Granule (+)2201p,0.19716848342913432,0.11288240279909065,0.09925950925734706,0.12973676151323874,0.09407999592056025
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,0.17855233037647117,0.11520506281129252,0.1029594453421099,0.12732565744479338,0.09591395231014528
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,0.15853258955545826,0.13058700530633185,0.12260834358930672,0.16145812616591232,0.10085483149864613
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,0.18908459633658767,0.14894834024533066,0.07492069831711709,0.13863857747223385,0.07678768276564973
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,0.21316465587720995,0.15629358911444996,0.0655154745663421,0.13659342504488114,0.08328018753106434
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,0.20391515066539867,0.14194241739324281,0.07008000749681736,0.12535996742326794,0.08770047324728492
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,0.21531489426472547,0.15978799636532565,0.06127119805528846,0.12987648399499732,0.08000304081059362
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,0.18379416809413424,0.1284097488996802,0.08841291595841415,0.14953562902945408,0.08641312003042953
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,0.14387706087674204,0.11526921211806221,0.17350730007603715,0.12713973808860754,0.13988163868058176
10,DG Basket (-)2232,DG Granule (+)2201p,0.18200727199512085,0.1340160221517213,0.10281784810161454,0.15308298080307609,0.08583298962002635
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,0.21625583779338356,0.15372523271378816,0.07640728584524278,0.12044326956730476,0.07100244208415203
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,0.18060040261531946,0.13018035398037345,0.10835553323316355,0.11722919962783808,0.12756123091200947
13,DG MOLAX (-)3302,DG Granule (+)2201p,0.1727501906908966,0.13237836470100753,0.10914663351219021,0.1326472621419035,0.11595429170923524
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,0.16433818138746117,0.13542320453199705,0.10510947790569597,0.12633070231474955,0.0997781379010073
15,DG HICAP (-)2322,DG Granule (+)2201p,0.18370815520997866,0.13016957892671127,0.06981934725198889,0.11032846695319343,0.12503723666093536
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,0.21117573299917863,0.15323836209883498,0.07644711191272273,0.12414612048088272,0.07851815924580723
17,DG MOPP (-)3000,DG Granule (+)2201p,0.1783516817701809,0.14696571362338598,0.12834473185888665,0.13401833198155585,0.1311774431521006
18,DG HIPP (-)1002,DG Granule (+)2201p,0.18682288114727524,0.14089554434507337,0.07719138057307781,0.11320146924845087,0.09902059581851534
19,DG HIPROM (-)1333p,DG Granule (+)2201p,0.17391774053135256,0.14145819871260948,0.07864112334422511,0.11884175755406613,0.09789180009299288
20,DG AIPRIM (-)2333,DG Granule (+)2201p,0.17140840025189225,0.13558105953172986,0.10296573528038015,0.1195058569321653,0.10232312419539345
21,DG MOCAP (-)0331,DG Granule (+)2201p,0.16633719235546446,0.13826496503954244,0.21383244751890101,0.20278717932934356,0.21605425128543648
22,CA3 Spiny Lucidum (-)01320p,DG Granule (+)2201p,0.17814495150293996,0.12979363112333756,0.12417542454526867,0.136591051831088,0.13410143395078222
23,CA1 LMR Projecting (-)3300p,DG Granule (+)2201p,0.19818174615194578,0.14855717202255184,0.08065311979476722,0.11416914818652099,0.11588475058596351
24,CA1 Perforant Path-Associated (-)3200p,DG Granule (+)2201p,0.17486110649496237,0.13652892422683324,0.09153540213903333,0.11940062755881868,0.09901163502954062
