,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,4.4548426,10.629769,859.6283599999999,37.793420000000005,0.22800487
1,DG Mossy (+)0103,DG Granule (+)2201p,4.230470700000001,11.598644,703.99243,47.246338,0.2171803
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,4.6443477,11.266886,712.0373,48.47056,0.22391139
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,4.314936,12.503232,601.20215,21.877257999999998,0.2117873
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,4.9666524,11.866402,895.8409,28.699215000000002,0.2815809
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,5.1143475,11.6004,1069.7396,27.78596,0.25272375
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,5.2691374,10.635853,1025.5762,32.036438000000004,0.24407832
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,5.155832,11.754489,1128.9867,27.778008000000003,0.24600004
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,4.6368194,10.383543,795.1820700000001,34.012753000000004,0.23203711
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,6.0021377000000005,11.508759,489.55084000000005,30.580088,0.12914619
10,DG Basket (-)2232,DG Granule (+)2201p,5.17289,13.197981,840.9623,22.424143,0.2666652
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,4.666711,16.191206,948.0228,28.184107,0.24911521
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,4.467013400000001,14.05866,754.77893,25.070362,0.15132041
13,DG MOLAX (-)3302,DG Granule (+)2201p,4.084155600000001,14.403862,723.3824,32.734264,0.14210278
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,4.288412,14.882829999999998,713.3430000000001,30.75752,0.18884131
15,DG HICAP (-)2322,DG Granule (+)2201p,4.321927,13.976553,1018.6841,32.818325,0.16330801
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,4.8613415,18.494583,1054.7522,28.501724,0.2670732
17,DG MOPP (-)3000,DG Granule (+)2201p,4.238222599999999,18.30069,697.54517,24.707932999999997,0.15120319
18,DG HIPP (-)1002,DG Granule (+)2201p,4.6134395999999995,14.532754999999998,986.081,29.571434000000004,0.21564525
19,DG HIPROM (-)1333p,DG Granule (+)2201p,5.043414599999999,13.563310999999999,999.5404,29.143005,0.20675969
20,DG AIPRIM (-)2333,DG Granule (+)2201p,4.431833,13.395639000000001,777.34863,27.458784,0.21040833
21,DG MOCAP (-)0331,DG Granule (+)2201p,5.3880906,15.280945000000001,536.8091,18.28405,0.11629589999999998
22,CA3 Spiny Lucidum (-)01320p,DG Granule (+)2201p,6.922714999999999,14.595166,765.2076400000001,21.799332,0.15979195
23,CA1 LMR Projecting (-)3300p,DG Granule (+)2201p,4.410051999999999,16.482603,902.4874,27.8347,0.16346711
24,CA1 Perforant Path-Associated (-)3200p,DG Granule (+)2201p,4.6279097,13.537188,822.74963,25.35782,0.19065951
