,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,4.241628599999999,10.820319999999999,826.4583,35.50526,0.21644592
1,DG Mossy (+)0103,DG Granule (+)2201p,4.1233206,11.567461999999999,680.00055,45.47368,0.20833379999999999
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,4.560477,11.184058,693.3845,46.166985,0.21203908
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,4.255931400000001,12.956638,558.76404,20.25851,0.19837752
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,4.816409999999999,11.925417999999999,863.7799699999999,27.832458000000003,0.27530575
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,5.0805397,12.067857,1033.4934,27.83057,0.24518768
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,5.1320834,10.775205999999999,985.5256300000001,31.065634000000003,0.23358174
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,4.984974,12.296834,1096.7092,28.116321999999997,0.23923121
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,4.5354614,10.524984,758.4066,31.77777,0.22609136
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,6.3803529999999995,11.011984,435.96353,27.550542999999998,0.118820004
10,DG Basket (-)2232,DG Granule (+)2201p,5.495857,13.384051999999999,797.26416,21.866365,0.25771120000000003
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,4.8291554,16.500093,917.00305,28.312509999999996,0.23863783
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,5.1679900000000005,14.220065,712.8265,24.721334,0.14197241
13,DG MOLAX (-)3302,DG Granule (+)2201p,4.057266,14.707981,690.7526,31.794674,0.13489854
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,4.260571499999999,14.767860999999998,683.66095,29.656478999999997,0.18137279999999997
15,DG HICAP (-)2322,DG Granule (+)2201p,4.2646775,13.867822,977.8406,31.910013,0.15640971
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,4.819094000000001,18.348118,1024.0278,28.389,0.2586468
17,DG MOPP (-)3000,DG Granule (+)2201p,4.5694695,18.290304000000003,654.2172,23.873781,0.14272043
