,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,1.7277701,5.160416000000001,735.19305,17.090813,0.17310849
1,DG Mossy (+)0103,DG Granule (+)2201p,1.5631083000000001,6.423676,585.58844,22.188807,0.1591473
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,1.6880674,6.151917,586.07275,21.882212,0.1677961
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,2.0772176,6.6828647,449.82468,9.760923,0.15792915
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,2.3173068,4.284590000000001,757.6985,14.887051000000001,0.24034995
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,2.1930697,4.196985,929.0263,13.53483,0.21011974
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,2.2244174,4.327794,890.697,17.657335,0.18924315
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,1.8168575,3.9852083,1042.9149,14.68873,0.1995416
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,1.9877688999999998,5.1957226,635.75494,16.864763,0.19366418
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,2.141838,7.430505999999999,345.95755,16.776234,0.10476025
10,DG Basket (-)2232,DG Granule (+)2201p,2.001746,7.4189229999999995,767.8208599999999,11.862307000000001,0.2394552
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,1.9254773999999997,7.7809786999999995,868.7814300000001,15.415029999999998,0.24018948
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,1.8998275000000002,7.551140299999999,634.2549,13.140166,0.106291115
13,DG MOLAX (-)3302,DG Granule (+)2201p,1.8504286,7.6520304999999995,564.3848,18.883696,0.11119984
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,1.9818089,8.023364,530.187,18.132063,0.15640987
15,DG HICAP (-)2322,DG Granule (+)2201p,1.7567720000000002,7.607975,840.83905,20.11429,0.09934351
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,1.7720491999999999,6.6993732,883.67535,17.213758,0.22571021
17,DG MOPP (-)3000,DG Granule (+)2201p,1.6150777,9.291556,553.3986,13.753966,0.116087236
18,DG HIPP (-)1002,DG Granule (+)2201p,2.1139544999999997,7.5401940000000005,830.3884,17.004696,0.15239514
19,DG HIPROM (-)1333p,DG Granule (+)2201p,2.5265622000000003,7.0610685,845.06165,17.216887,0.15401238
20,DG AIPRIM (-)2333,DG Granule (+)2201p,2.0471396,7.784778599999999,653.89276,15.545848000000001,0.16156104
21,DG MOCAP (-)0331,DG Granule (+)2201p,1.8740917000000001,9.421433,361.35699999999997,6.884264999999999,0.056220885
22,CA3 Spiny Lucidum (-)01320p,DG Granule (+)2201p,2.2460017000000003,7.604325,603.5551,10.530955,0.12285691
23,CA1 LMR Projecting (-)3300p,DG Granule (+)2201p,1.9247918999999998,7.6186036999999995,804.6568599999999,15.379997,0.12410409
