,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,1.8199056,5.9570300000000005,540.52814,16.807665,0.13857669
1,DG Mossy (+)0103,DG Granule (+)2201p,1.8187761000000002,6.937860499999999,426.23897999999997,22.1161,0.1381352
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,2.0645540000000002,6.2398977,413.60402999999997,23.20985,0.13656093
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,2.3602872,7.066331,267.63833999999997,10.064819,0.09773316
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,1.8727859,5.4274406,643.85065,15.5979,0.17609635
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,2.1274952999999996,5.348335700000001,720.4734,14.608683,0.15865836
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,1.9633589,5.268656,733.13605,16.550293,0.15178429999999998
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,2.0999205,5.191815,817.8218,15.443211999999999,0.16075799999999998
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,2.1526957,5.87641,490.0569,15.500888,0.13904992
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,2.4948504000000002,6.220306400000001,135.60834,13.450546,0.049394585
10,DG Basket (-)2232,DG Granule (+)2201p,2.2972572,7.6761550000000005,438.48666,10.954350999999999,0.15185645
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,1.7820283,8.700066,558.4072,14.794753,0.15739971
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,1.7778758000000001,7.8959327,373.35393999999997,13.247875,0.062612586
13,DG MOLAX (-)3302,DG Granule (+)2201p,1.7544968999999997,8.173074,388.61148,18.69515,0.07509785
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,2.1847556,8.103537,382.9318,17.581723999999998,0.098586015
15,DG HICAP (-)2322,DG Granule (+)2201p,2.0531013,7.6084065,677.025,20.788551000000002,0.08246742
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,1.8145465,8.429302,706.8269,17.787613,0.16734885
17,DG MOPP (-)3000,DG Granule (+)2201p,1.8615452000000001,8.873963,284.70685,13.1804,0.062291432
