,Presynaptic Neuron,Postsynaptic Neuron,g,tau_d,tau_r,tau_f,U
0,DG Semilunar Granule (+)2311p,DG Granule (+)2201p,4.2005196,12.486345,910.4906,40.527843,0.23929162
1,DG Mossy (+)0103,DG Granule (+)2201p,3.951028,12.624146000000001,757.8232,49.865208,0.23150596
2,DG Mossy MOLDEN (+)2323,DG Granule (+)2201p,4.37725,12.28191,760.0253,49.496037,0.23793104
3,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,4.477434,15.046459,621.7277,23.338171,0.22953282
4,MEC LV Pyramidal (+)331131p,DG Granule (+)2201p,5.1092043,13.352554000000001,966.2262599999999,32.018795000000004,0.30781144
5,MEC LII Stellate (+)331111p,DG Granule (+)2201p,5.209679599999999,13.296873999999999,1144.8221,28.745465999999997,0.27919809999999995
6,EC LI-II Pyramidal-Fan (+)331000p,DG Granule (+)2201p,4.8218856,12.270089,1109.8906,35.032196,0.2674578
7,EC LII-III Pyramidal-Tripolar (+)333000p,DG Granule (+)2201p,5.099025,13.315524,1217.1987,28.328405,0.27223665
8,EC LIV-V Pyramidal-Horizontal (+)220233p,DG Granule (+)2201p,4.49178,12.639849,861.4056,37.825634,0.2550902
9,DG Axo-Axonic (-)2233,DG Granule (+)2201p,4.686168,14.059478,536.85925,33.02193,0.15747054
10,DG Basket (-)2232,DG Granule (+)2201p,5.102933999999999,17.584925,856.3623,21.859642,0.28263187
11,DG Basket CCK+ (-)2232,DG Granule (+)2201p,4.7066197,19.357471,1079.5332,29.149697999999997,0.28322965
12,DG Total Molecular Layer (-)3303,DG Granule (+)2201p,4.2353106,16.212242,780.1307400000001,26.974428000000003,0.17016017
13,DG MOLAX (-)3302,DG Granule (+)2201p,3.9111803,16.675179,721.895,36.871674,0.15471561
14,DG Outer Molecular Layer (-)3222,DG Granule (+)2201p,4.2680078,17.003931,717.03534,34.12845,0.20563892
15,DG HICAP (-)2322,DG Granule (+)2201p,4.108124,16.003906,967.9382,34.013003999999995,0.15113473
16,DG Neurogliaform (-)3000p,DG Granule (+)2201p,4.901492,19.4205,1068.4829,30.542140000000003,0.27973688
17,DG MOPP (-)3000,DG Granule (+)2201p,4.183921,18.699154,723.4698,27.688877,0.16989581
18,DG HIPP (-)1002,DG Granule (+)2201p,4.243312,16.962954999999997,964.6645,29.317446,0.21280803
19,DG HIPROM (-)1333p,DG Granule (+)2201p,4.610681,15.720267999999999,993.1845,28.678308,0.21281317
20,DG AIPRIM (-)2333,DG Granule (+)2201p,4.557797,15.994885,769.512,27.554990000000004,0.21816377
21,DG MOCAP (-)0331,DG Granule (+)2201p,4.2679849999999995,17.446987,572.1663,22.2274,0.13160995
22,CA3 Spiny Lucidum (-)01320p,DG Granule (+)2201p,4.821435,16.878904000000002,788.9259,23.117082999999997,0.17856179
23,CA1 LMR Projecting (-)3300p,DG Granule (+)2201p,4.161592,18.659185,966.278,29.754465000000003,0.1832074
24,CA1 Perforant Path-Associated (-)3200p,DG Granule (+)2201p,4.477942,16.375645000000002,883.24365,26.900778000000003,0.2165197
25,CA1 Neurogliaform Projecting (-)3000p,DG Granule (+)2201p,4.605155,22.277384,781.68,25.397432000000002,0.20806165
26,DG Semilunar Granule (+)2311p,DG Semilunar Granule (+)2311p,4.0153847,11.613956,814.3685,44.567040000000006,0.19727460000000002
